month,route,direction,ln_teu_actual,ln_teu_pred,teu_actual,teu_pred
2025-05-01,UK-FR,Imports,8.467864864699541,8.12421480285333,4759.342772553456,3375.2166804254325
2025-06-01,UK-FR,Imports,8.326696636254402,8.251690725397856,4132.743025251658,3834.1027594486095
2025-07-01,UK-FR,Imports,8.58097936629403,8.271585944262844,5329.322328969111,3911.1469371033268
2025-08-01,UK-FR,Imports,8.35899103710138,8.040307258517753,4268.385949982549,3103.566641128345
2025-09-01,UK-FR,Imports,8.596612638019556,8.329170843213387,5413.291721048346,4142.980946950196
2024-01-01,UK-NL,Exports,8.184444411026584,8.37055103613385,3584.75141752312,4318.014789430512
2024-02-01,UK-NL,Exports,8.293288046139937,8.24262790725749,3996.954783907923,3799.511965205335
2024-03-01,UK-NL,Exports,8.372004122465896,8.254743357136563,4324.293798568958,3845.824745572342
2024-04-01,UK-NL,Exports,8.255480164670391,8.334375422431869,3848.65942239604,4164.599628760391
2024-05-01,UK-NL,Exports,8.435339898623686,8.268972451693148,4607.035629237326,3900.9385292538286
2024-06-01,UK-NL,Exports,8.699565571646431,8.39236197641039,6000.304948366632,4413.229336951481
2024-07-01,UK-NL,Exports,8.135539026560282,8.191547379452931,3413.6556239949964,3610.3044373710127
2024-08-01,UK-NL,Exports,8.55912736543867,8.367643399148886,5214.129157308059,4305.477805259239
2024-09-01,UK-NL,Exports,8.31561914151155,8.165990296672607,4087.2152186969442,3519.2046687078887
2024-10-01,UK-NL,Exports,8.486032412837114,8.30933021783685,4846.598573502857,4061.5916908021068
2024-11-01,UK-NL,Exports,8.194869301187703,8.263815028000254,3622.3175283775163,3880.8715279527
2024-12-01,UK-NL,Exports,8.520404808273282,8.245603487302374,5016.083898119632,3810.834554470381
2025-01-01,UK-NL,Exports,8.345752593144764,8.250192077049972,4212.25154769159,3828.3610911280407
2025-02-01,UK-NL,Exports,8.433570191496205,8.244092789166494,4598.889735496797,3805.081880184025
2025-03-01,UK-NL,Exports,8.45016810759563,8.363325790013752,4675.858716811611,4286.928508079549
2025-04-01,UK-NL,Exports,8.601044112516053,8.474114113454396,5437.333816874711,4789.17821690833
2025-05-01,UK-NL,Exports,7.959045384392071,8.071703118348912,2861.340168350484,3202.551511275386
2025-06-01,UK-NL,Exports,8.592175612443397,8.296551446641814,5389.326014774803,4010.0197546768686
2025-07-01,UK-NL,Exports,8.463021564131155,8.452572575099842,4736.347576272531,4687.115194644807
2025-08-01,UK-NL,Exports,8.577568731241906,8.32017552566915,5311.176916709002,4105.880632473782
