month,route,direction,ln_teu_actual,ln_teu_pred,teu_actual,teu_pred
2023-01-01,UK-DE,Exports,8.711833272319678,8.519178853375289,6074.3682578237585,5009.938173456348
2023-02-01,UK-DE,Exports,8.281678298224595,8.34387906250096,3950.8194742943074,4204.367153470929
2023-03-01,UK-DE,Exports,8.73324159445119,8.57583011914289,6205.812267881933,5301.95086285005
2023-04-01,UK-DE,Exports,8.325095673442558,8.396996231978749,4126.131950811544,4433.728832844381
2023-05-01,UK-DE,Exports,8.681922327676068,8.329735687652652,5895.368535702926,4145.321747731982
2023-06-01,UK-DE,Exports,8.637905180340002,8.435868066637,5641.499513485533,4609.4695607987
2023-07-01,UK-DE,Exports,8.578689871934388,8.39901999599768,5317.134832482138,4442.7107392899925
2023-08-01,UK-DE,Exports,8.457441636544615,8.453371002915368,4709.992697311517,4690.85901217593
2023-09-01,UK-DE,Exports,8.570520185772624,8.466602861259371,5273.872470206348,4753.340253997741
2023-10-01,UK-DE,Exports,8.481730583031016,8.38295175007715,4825.794112010932,4371.894639482874
2023-11-01,UK-DE,Exports,8.468433484543187,8.308862681030172,4762.049798858142,4059.693191036802
2023-12-01,UK-DE,Exports,8.814650741187316,8.219933281771503,6732.156089130928,3714.2545657596274
2024-01-01,UK-DE,Exports,8.526796963866914,8.338175415338826,5048.250183291774,4180.455184229715
2024-02-01,UK-DE,Exports,8.619816209849377,8.314538337487791,5540.368035022751,4082.8001263971532
2024-03-01,UK-DE,Exports,8.476034011239761,8.361056192609476,4798.3817816854735,4277.2099390565645
2024-04-01,UK-DE,Exports,8.471952581407045,8.246290434812176,4778.837434704272,3813.4532971442404
2024-05-01,UK-DE,Exports,8.519145624849116,8.16255046964927,5009.771703360422,3507.1200098717136
2024-06-01,UK-DE,Exports,8.536876372742817,8.38313518071653,5099.390861935309,4372.696652466524
2024-07-01,UK-DE,Exports,8.535199742209654,8.35168319631682,5090.848230934815,4237.306963508593
2024-08-01,UK-DE,Exports,8.585068258721952,8.34056678130629,5351.157966048974,4190.464145260383
2024-09-01,UK-DE,Exports,8.509159770326299,8.153810343073873,4959.9938030162075,3476.600901782991
2024-10-01,UK-DE,Exports,8.417392666820664,8.301020968091716,4525.089644244988,4027.9827370491375
2024-11-01,UK-DE,Exports,8.815689694640502,8.324951639416248,6739.154120632128,4125.537690211486
2024-12-01,UK-DE,Exports,8.515943658099113,8.230400461769587,4993.756235122881,3753.336518953891
2025-01-01,UK-DE,Exports,8.562318561298985,8.336742041478127,5230.79504259868,4174.4673214909835
2025-02-01,UK-DE,Exports,8.633322973397654,8.30055003482813,5615.708131102925,4026.086272582256
2025-03-01,UK-DE,Exports,8.447949608424866,8.167306357818497,4665.496826298385,3523.8392062352673
2025-04-01,UK-DE,Exports,8.434043066368753,8.37594618982424,4601.064949155739,4341.374099730195
2025-05-01,UK-DE,Exports,8.562670424989893,8.186673039167186,5232.635893294017,3592.7494043681927
2025-06-01,UK-DE,Exports,8.58490775562585,8.181934409681247,5350.299157550244,3575.764969358893
2025-07-01,UK-DE,Exports,8.831223174427862,8.330249261389696,6844.653902997841,4147.451222887664
2025-08-01,UK-DE,Exports,8.289867678300922,8.202714072246057,3983.307081697182,3650.845531613378
2025-09-01,UK-DE,Exports,8.625516336904072,8.249642467831082,5572.039015304974,3826.25756669028
2023-01-01,UK-DE,Imports,8.963119115136932,8.817518030897798,7809.678799293161,6751.486831189818
2023-02-01,UK-DE,Imports,8.956780604368014,9.024600000255479,7760.333618811497,8304.891854722257
2023-03-01,UK-DE,Imports,8.77801589627494,8.615441545934994,6489.987581895343,5516.183724591899
2023-04-01,UK-DE,Imports,8.777237084006353,8.823569498525336,6484.935067678998,6792.4671055293275
2023-05-01,UK-DE,Imports,9.075073903817202,8.845988769962982,8734.831252340413,6946.469125474563
2023-06-01,UK-DE,Imports,8.90872618746227,8.750743137875876,7396.233679980593,6315.3795624277855
